Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,10n,C_0402_1005Metric,177.099788,-97.959405,180.0,bottom
C2,10n,C_0402_1005Metric,174.899788,-97.959405,0.0,bottom
C3,22u,C_0805_2012Metric,161.599997,-30.849374,180.0,bottom
C4,22u,C_0805_2012Metric,172.274998,-35.299375,270.0,bottom
C5,22p,C_0402_1005Metric,182.399938,-57.600003,90.0,bottom
C6,22p,C_0402_1005Metric,180.099935,-60.299998,0.0,bottom
C7,100n,C_0402_1005Metric,174.89994,-56.400001,90.0,bottom
C8,100n,C_0402_1005Metric,179.824942,-40.30001,270.0,bottom
C9,1u,C_0603_1608Metric,174.099939,-41.399375,270.0,bottom
C10,1u,C_0603_1608Metric,169.916628,-43.08713,270.0,bottom
C11,100n,C_0402_1005Metric,172.099947,-42.949377,180.0,bottom
C12,100n,C_0402_1005Metric,172.09994,-41.899375,180.0,bottom
C13,100n,C_0402_1005Metric,177.779941,-40.290002,270.0,bottom
C14,100n,C_0402_1005Metric,178.799937,-40.300004,270.0,bottom
C15,100n,C_0402_1005Metric,181.924945,-45.30001,270.0,bottom
C16,100n,C_0402_1005Metric,184.9,-49.6,0.0,bottom
C17,100n,C_0402_1005Metric,175.899942,-56.089339,90.0,bottom
C18,100n,C_0402_1005Metric,170.7,-49.6,180.0,bottom
C19,100n,C_0402_1005Metric,172.099942,-45.423908,180.0,bottom
C21,1u,C_0603_1608Metric,184.34,-119.875143,0.0,bottom
C22,1u,C_0603_1608Metric,183.319295,-123.025138,90.0,bottom
C23,100n,C_0402_1005Metric,189.901926,-116.521178,30.0,bottom
C24,100n,C_0402_1005Metric,195.490003,-135.800001,90.0,bottom
C25,100n,C_0402_1005Metric,181.588077,-150.278833,150.0,bottom
C26,100n,C_0402_1005Metric,162.098077,-145.478832,210.0,bottom
C27,100n,C_0402_1005Metric,156.510003,-126.200001,270.0,bottom
C28,100n,C_0402_1005Metric,170.411921,-111.721168,330.0,bottom
C29,100n,C_0402_1005Metric,60.570288,-49.517062,20.0,bottom
C30,100n,C_0402_1005Metric,45.519447,-62.800438,200.0,bottom
C31,100n,C_0402_1005Metric,47.539323,-85.319348,20.0,bottom
C32,100n,C_0402_1005Metric,32.488479,-98.602766,200.0,bottom
C33,100n,C_0402_1005Metric,34.508361,-121.121635,200.0,bottom
C34,100n,C_0402_1005Metric,79.285869,-53.7949,20.0,bottom
C35,100n,C_0402_1005Metric,64.234991,-67.078282,200.0,bottom
C36,100n,C_0402_1005Metric,66.254914,-89.597184,20.0,bottom
C37,100n,C_0402_1005Metric,51.204043,-102.880592,200.0,bottom
C38,100n,C_0402_1005Metric,53.223917,-125.399486,200.0,bottom
C39,100n,C_0402_1005Metric,98.815885,-55.835102,20.0,bottom
C40,100n,C_0402_1005Metric,83.765031,-69.118506,200.0,bottom
C41,100n,C_0402_1005Metric,85.784908,-91.637377,20.0,bottom
C42,100n,C_0402_1005Metric,70.734058,-104.920794,200.0,bottom
C43,100n,C_0402_1005Metric,72.753942,-127.439681,200.0,bottom
C44,100n,C_0402_1005Metric,118.074415,-58.621184,20.0,bottom
C45,100n,C_0402_1005Metric,103.023565,-71.904587,200.0,bottom
C46,100n,C_0402_1005Metric,105.043431,-94.42347,20.0,bottom
C47,100n,C_0402_1005Metric,89.992589,-107.706862,200.0,bottom
C48,100n,C_0402_1005Metric,100.96032,-142.7741,200.0,bottom
C49,100n,C_0402_1005Metric,134.618181,-68.866056,20.0,bottom
C50,100n,C_0402_1005Metric,119.567312,-82.149453,200.0,bottom
C51,100n,C_0402_1005Metric,121.587202,-104.668375,20.0,bottom
C52,100n,C_0402_1005Metric,106.536344,-117.95175,200.0,bottom
C53,100n,C_0402_1005Metric,118.650919,-153.389469,215.0,bottom
C54,100n,C_0402_1005Metric,151.433375,-78.365076,20.0,bottom
C55,100n,C_0402_1005Metric,136.382535,-91.648477,200.0,bottom
C56,100n,C_0402_1005Metric,138.402433,-114.167358,20.0,bottom
C57,100n,C_0402_1005Metric,123.351562,-127.450775,200.0,bottom
C58,100n,C_0402_1005Metric,132.899049,-168.18801,50.0,bottom
C59,100n,C_0402_1005Metric,157.863299,-180.60629,15.0,bottom
C60,100n,C_0402_1005Metric,180.799798,-182.369386,0.0,bottom
C61,100n,C_0402_1005Metric,203.43435,-178.114985,345.0,bottom
C62,100n,C_0402_1005Metric,209.587677,-75.081717,340.0,bottom
C63,100n,C_0402_1005Metric,206.596435,-94.931865,160.0,bottom
C64,100n,C_0402_1005Metric,222.61863,-110.883971,340.0,bottom
C65,100n,C_0402_1005Metric,219.627395,-130.734148,160.0,bottom
C66,100n,C_0402_1005Metric,225.266838,-160.833024,130.0,bottom
C67,100n,C_0402_1005Metric,226.402904,-65.582702,340.0,bottom
C68,100n,C_0402_1005Metric,223.411665,-85.432869,160.0,bottom
C69,100n,C_0402_1005Metric,239.433863,-101.384979,340.0,bottom
C70,100n,C_0402_1005Metric,236.442638,-121.235151,160.0,bottom
C71,100n,C_0402_1005Metric,241.197105,-147.877363,145.0,bottom
C72,100n,C_0402_1005Metric,242.946642,-55.337793,340.0,bottom
C73,100n,C_0402_1005Metric,239.955404,-75.187948,160.0,bottom
