Comment,Designator,Footprint,LCSC
1k,R4,R_0402_1005Metric,C11702
10n,"C11,C21,C22,C8",C_0402_1005Metric,C15195
1u,C12,C_0603_1608Metric,C15849
USB In,J4,G-Switch_GT-USB-7010ASV,C165948
AO3400A,"Q1,Q2",SOT-23-3,C20917
1N4148,D65,D_SOD-323,C2128
TPS259533,U3,WSON-8-1EP_2x2mm_P0.5mm_EP0.9x1.6mm,C2155777
50R@100MHz,FB1,L_0805_2012Metric,C237300
4u7,"C1,C5",C_0402_1005Metric,C23733
100,R7,R_0402_1005Metric,C25076
100k,R8,R_0402_1005Metric,C25741
10k,"R13,R14,R15,R16,R17,R5,R6,R9",R_0402_1005Metric,C25744
12k,R18,R_0402_1005Metric,C25752
330k,R2,R_0402_1005Metric,C25778
5k1,"R1,R10,R11",R_0402_1005Metric,C25905
6k8,R19,R_0402_1005Metric,C25917
1M,R3,R_0402_1005Metric,C26083
100n,"C10,C13,C14,C2,C23,C24,C25,C26,C27,C28,C29,C3,C30,C31,C32,C33,C34,C35,C36,C37,C38,C39,C4,C40,C41,C42,C43,C44,C45,C46,C47,C48,C49,C50,C51,C52,C53,C54,C55,C56,C57,C58,C59,C6,C60,C61,C62,C63,C64,C65,C66,C67,C68,C69,C70,C71,C72,C73,C74,C75,C76,C77,C78,C79,C80,C81,C82,C83,C84,C85,C86",C_0402_1005Metric,C307331
Reset,SW66,SW_SPST_TL3342,C318884
STM32F072RBT6,U1,LQFP-64_10x10mm_P0.5mm,C46046
SK6812MINI-E,"D1,D10,D11,D12,D13,D14,D15,D16,D17,D18,D19,D2,D20,D21,D22,D23,D24,D25,D26,D27,D28,D29,D3,D30,D31,D32,D33,D34,D35,D36,D37,D38,D39,D4,D40,D41,D42,D43,D44,D45,D46,D47,D48,D49,D5,D50,D51,D52,D53,D54,D55,D56,D57,D58,D59,D6,D60,D61,D62,D63,D64,D7,D8,D9",LED_OPSCO_SK6812MINI-E,C524051
1u,"C15,C19,C20,C7",C_0402_1005Metric,C52923
XC6206P332MR,U4,SOT-23-3,C5446
BAV70,"D67,D68,D69,D70,D71,D72,D73,D74,D75,D76,D77,D78,D79,D80,D81,D82,D83,D84,D85,D86,D87,D88,D89,D90,D91,D92,D93,D94,D95,D96,D97,D98,D99",SOT-23-3,C68978
5V,D66,D_SOD-523,C85708
