Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
A2,VIK Logo,VIK_Logo_Medium,152.999997,-73.999999,0.0,top
C1,4u7,C_0402_1005Metric,190.199999,-76.19999,270.0,bottom
C2,100n,C_0402_1005Metric,188.7,-84.59999,90.0,bottom
C3,100n,C_0402_1005Metric,188.799996,-77.400011,90.0,bottom
C4,100n,C_0402_1005Metric,203.299998,-85.09999,270.0,bottom
C5,4u7,C_0402_1005Metric,199.799993,-73.200017,180.0,bottom
C6,100n,C_0402_1005Metric,199.799996,-74.100011,180.0,bottom
C7,1u,C_0402_1005Metric,193.999998,-89.60001,0.0,bottom
C8,10n,C_0402_1005Metric,193.999999,-88.700007,0.0,bottom
C9,10u,C_0603_1608Metric,209.2,-93.599997,0.0,bottom
C10,100n,C_0402_1005Metric,204.849998,-96.599998,90.0,bottom
C11,10n,C_0402_1005Metric,193.999992,-70.299997,90.0,bottom
C12,1u,C_0603_1608Metric,190.799998,-69.300002,270.0,bottom
C13,100n,C_0402_1005Metric,189.499999,-68.999999,90.0,bottom
C14,100n,C_0402_1005Metric,184.692975,-68.500007,180.0,bottom
C15,1u,C_0402_1005Metric,188.599995,-70.200001,90.0,bottom
C16,47u,C_1206_3216Metric,182.299988,-71.299997,90.0,bottom
C17,47u,C_1206_3216Metric,179.899992,-71.299999,90.0,bottom
C18,47u,C_1206_3216Metric,177.49999,-71.299998,90.0,bottom
C19,1u,C_0402_1005Metric,175.499997,-75.299989,90.0,bottom
C20,1u,C_0402_1005Metric,180.599996,-76.299987,90.0,bottom
C21,10n,C_0402_1005Metric,207.699998,-82.799998,180.0,bottom
C22,10n,C_0402_1005Metric,207.699999,-85.5,180.0,bottom
C23,100n,C_0402_1005Metric,69.68309,-85.005127,15.0,bottom
C24,100n,C_0402_1005Metric,88.611778,-161.569355,15.0,bottom
C25,100n,C_0402_1005Metric,330.870951,-102.053729,165.0,bottom
